2018-02-12 01:35:18,266 [DEBUG] src.generate_init: creating agent with capacity 0.195269492119 vradius 0.411355795829 vangle 0.228179901254 type 0 loc [2 2]
2018-02-12 01:35:18,267 [INFO] src.agent_originaltypes: Created an agent with location [2 2], type 0, capacity 0.195269492119, view_radius 0.411355795829, view_angle 0.228179901254 in standard ranges
2018-02-12 01:35:18,267 [DEBUG] src.generate_init: creating agent with capacity 0.132248573668 vradius 0.234515573299 vangle 0.335244575245 type 1 loc [1 0]
2018-02-12 01:35:18,267 [INFO] src.agent_originaltypes: Created an agent with location [1 0], type 1, capacity 0.132248573668, view_radius 0.234515573299, view_angle 0.335244575245 in standard ranges
2018-02-12 01:35:18,267 [DEBUG] src.generate_init: creating agent with capacity 0.289115570518 vradius 0.664917286046 vangle 0.439508855279 type 0 loc [0 3]
2018-02-12 01:35:18,268 [INFO] src.agent_originaltypes: Created an agent with location [0 3], type 0, capacity 0.289115570518, view_radius 0.664917286046, view_angle 0.439508855279 in standard ranges
2018-02-12 01:35:18,268 [DEBUG] src.generate_init: creating agent with capacity 0.362379480124 vradius 0.322342967413 vangle 0.76463129365 type 1 loc [4 8]
2018-02-12 01:35:18,268 [INFO] src.agent_originaltypes: Created an agent with location [4 8], type 1, capacity 0.362379480124, view_radius 0.322342967413, view_angle 0.76463129365 in standard ranges
2018-02-12 01:35:18,269 [DEBUG] __main__: The generated random actions for UNI look like this 
 ['duln', 'durn', 'dupn', 'ddln', 'ddrn', 'ddpn', 'dlln', 'dlrn', 'dlpn', 'dpln', 'dprn', 'dppn', 'luln', 'lurn', 'lupn', 'ldln', 'ldrn', 'ldpn', 'llln', 'llrn', 'llpn', 'lpln', 'lprn', 'lppn', 'ruln', 'rurn', 'rupn', 'rdln', 'rdrn', 'rdpn', 'rlln', 'rlrn', 'rlpn', 'rpln', 'rprn', 'rppn', 'puln', 'purn', 'pupn', 'pdln', 'pdrn', 'pdpn', 'plln', 'plrn', 'plpn', 'ppln', 'pprn', 'pppn']
2018-02-12 01:35:18,269 [DEBUG] __main__: PASS: Test 1 passed. The number of legal actions function works
2018-02-12 01:35:18,269 [DEBUG] __main__: Iter 0, turn UNI, randomaction: luln
2018-02-12 01:35:18,269 [DEBUG] __main__: Iter 0, turn AIG, randomaction: nnnr
2018-02-12 01:35:18,270 [DEBUG] __main__: Iter 1, turn UNI, randomaction: purn
2018-02-12 01:35:18,270 [DEBUG] __main__: Iter 1, turn AIG, randomaction: nnnl
2018-02-12 01:35:18,270 [DEBUG] __main__: Iter 2, turn UNI, randomaction: ddrn
2018-02-12 01:35:18,270 [DEBUG] __main__: Iter 2, turn AIG, randomaction: nnnl
2018-02-12 01:35:18,271 [DEBUG] __main__: Iter 3, turn UNI, randomaction: llpn
2018-02-12 01:35:18,271 [DEBUG] __main__: Iter 3, turn AIG, randomaction: nnnp
2018-02-12 01:35:18,271 [DEBUG] __main__: Iter 4, turn UNI, randomaction: rdln
2018-02-12 01:35:18,271 [DEBUG] __main__: Iter 4, turn AIG, randomaction: nnnp
2018-02-12 01:35:18,272 [DEBUG] __main__: Iter 5, turn UNI, randomaction: purn
2018-02-12 01:35:18,272 [DEBUG] __main__: Iter 5, turn AIG, randomaction: nnnr
2018-02-12 01:35:18,272 [DEBUG] __main__: Iter 6, turn UNI, randomaction: durn
2018-02-12 01:35:18,272 [DEBUG] __main__: Iter 6, turn AIG, randomaction: nnnp
2018-02-12 01:35:18,273 [DEBUG] __main__: Iter 7, turn UNI, randomaction: ldrn
2018-02-12 01:35:18,273 [DEBUG] __main__: Iter 7, turn AIG, randomaction: nnnp
2018-02-12 01:35:18,273 [DEBUG] __main__: Iter 8, turn UNI, randomaction: ddrn
2018-02-12 01:35:18,273 [DEBUG] __main__: Iter 8, turn AIG, randomaction: nnnr
2018-02-12 01:35:18,274 [DEBUG] __main__: Iter 9, turn UNI, randomaction: rdpn
2018-02-12 01:35:18,274 [DEBUG] __main__: Iter 9, turn AIG, randomaction: nnnr
2018-02-12 01:35:18,274 [DEBUG] __main__: Iter 10, turn UNI, randomaction: dlrn
2018-02-12 01:35:18,274 [DEBUG] __main__: Iter 10, turn AIG, randomaction: nnnp
2018-02-12 01:35:18,274 [DEBUG] __main__: Iter 11, turn UNI, randomaction: pdrn
2018-02-12 01:35:18,275 [DEBUG] __main__: Iter 11, turn AIG, randomaction: nnnr
2018-02-12 01:35:18,275 [DEBUG] __main__: Iter 12, turn UNI, randomaction: dlln
2018-02-12 01:35:18,275 [DEBUG] __main__: Iter 12, turn AIG, randomaction: nnnl
2018-02-12 01:35:18,275 [DEBUG] __main__: Iter 13, turn UNI, randomaction: rlrn
2018-02-12 01:35:18,276 [DEBUG] __main__: Iter 13, turn AIG, randomaction: nnnp
2018-02-12 01:35:18,276 [DEBUG] __main__: Iter 14, turn UNI, randomaction: pprn
