2018-02-12 01:37:50,427 [DEBUG] src.generate_init: creating agent with capacity 0.354258513466 vradius 0.677545991856 vangle 0.74475803532 type 2 loc [5 1]
2018-02-12 01:37:50,427 [INFO] src.agent_originaltypes: Created an agent with location [5 1], type 2, capacity 0.354258513466, view_radius 0.677545991856, view_angle 0.74475803532 in standard ranges
2018-02-12 01:37:50,427 [DEBUG] src.generate_init: creating agent with capacity 0.138624052108 vradius 0.528930621905 vangle 0.804732121811 type 1 loc [5 7]
2018-02-12 01:37:50,428 [INFO] src.agent_originaltypes: Created an agent with location [5 7], type 1, capacity 0.138624052108, view_radius 0.528930621905, view_angle 0.804732121811 in standard ranges
2018-02-12 01:37:50,428 [DEBUG] src.generate_init: creating agent with capacity 0.353189419146 vradius 0.451954699254 vangle 0.155099843095 type 2 loc [1 4]
2018-02-12 01:37:50,428 [INFO] src.agent_originaltypes: Created an agent with location [1 4], type 2, capacity 0.353189419146, view_radius 0.451954699254, view_angle 0.155099843095 in standard ranges
2018-02-12 01:37:50,428 [DEBUG] src.generate_init: creating agent with capacity 0.332854189538 vradius 0.838338136332 vangle 0.704555201643 type 1 loc [6 4]
2018-02-12 01:37:50,428 [INFO] src.agent_originaltypes: Created an agent with location [6 4], type 1, capacity 0.332854189538, view_radius 0.838338136332, view_angle 0.704555201643 in standard ranges
2018-02-12 01:37:50,429 [DEBUG] __main__: The generated random actions for UNI look like this 
 ['rdun', 'rddn', 'rdln', 'rdrn', 'rdpn', 'rlun', 'rldn', 'rlln', 'rlrn', 'rlpn', 'rpun', 'rpdn', 'rpln', 'rprn', 'rppn', 'pdun', 'pddn', 'pdln', 'pdrn', 'pdpn', 'plun', 'pldn', 'plln', 'plrn', 'plpn', 'ppun', 'ppdn', 'ppln', 'pprn', 'pppn']
2018-02-12 01:37:50,429 [DEBUG] __main__: PASS: Test 1 passed. The number of legal actions function works
2018-02-12 01:37:50,430 [DEBUG] __main__: Iter 0, turn UNI, randomaction: plpn
2018-02-12 01:37:50,430 [DEBUG] __main__: Iter 0, turn AIG, randomaction: nnnr
2018-02-12 01:37:50,430 [DEBUG] __main__: Iter 1, turn UNI, randomaction: ppln
2018-02-12 01:37:50,430 [DEBUG] __main__: Iter 1, turn AIG, randomaction: nnnp
2018-02-12 01:37:50,431 [DEBUG] __main__: Iter 2, turn UNI, randomaction: ppln
2018-02-12 01:37:50,431 [DEBUG] __main__: Iter 2, turn AIG, randomaction: nnnl
2018-02-12 01:37:50,431 [DEBUG] __main__: Iter 3, turn UNI, randomaction: pldn
2018-02-12 01:37:50,431 [DEBUG] __main__: Iter 3, turn AIG, randomaction: nnnp
2018-02-12 01:37:50,432 [DEBUG] __main__: Iter 4, turn UNI, randomaction: rlrn
2018-02-12 01:37:50,432 [DEBUG] __main__: Iter 4, turn AIG, randomaction: nnnd
2018-02-12 01:37:50,432 [DEBUG] __main__: Iter 5, turn UNI, randomaction: ppdn
2018-02-12 01:37:50,432 [DEBUG] __main__: Iter 5, turn AIG, randomaction: nnnp
2018-02-12 01:37:50,433 [DEBUG] __main__: Iter 6, turn UNI, randomaction: pdun
2018-02-12 01:37:50,433 [DEBUG] __main__: Iter 6, turn AIG, randomaction: nnnl
2018-02-12 01:37:50,433 [DEBUG] __main__: Iter 7, turn UNI, randomaction: ppdn
2018-02-12 01:37:50,433 [DEBUG] __main__: Iter 7, turn AIG, randomaction: nnnp
2018-02-12 01:37:50,434 [DEBUG] __main__: Iter 8, turn UNI, randomaction: rdln
2018-02-12 01:37:50,434 [DEBUG] __main__: Iter 8, turn AIG, randomaction: nnnr
2018-02-12 01:37:50,434 [DEBUG] __main__: Iter 9, turn UNI, randomaction: ppln
2018-02-12 01:37:50,434 [DEBUG] __main__: Iter 9, turn AIG, randomaction: nnnr
2018-02-12 01:37:50,435 [DEBUG] __main__: Iter 10, turn UNI, randomaction: plpn
2018-02-12 01:37:50,435 [DEBUG] __main__: Iter 10, turn AIG, randomaction: nnnp
2018-02-12 01:37:50,435 [DEBUG] __main__: Iter 11, turn UNI, randomaction: pdln
2018-02-12 01:37:50,435 [DEBUG] __main__: Iter 11, turn AIG, randomaction: nnnp
2018-02-12 01:37:50,436 [DEBUG] __main__: Iter 12, turn UNI, randomaction: rlpn
2018-02-12 01:37:50,436 [DEBUG] __main__: Iter 12, turn AIG, randomaction: nnnl
2018-02-12 01:37:50,436 [DEBUG] __main__: Iter 13, turn UNI, randomaction: plun
2018-02-12 01:37:50,437 [DEBUG] __main__: Iter 13, turn AIG, randomaction: nnnr
2018-02-12 01:37:50,437 [DEBUG] __main__: Iter 14, turn UNI, randomaction: rddn
2018-02-12 01:37:50,437 [DEBUG] __main__: Iter 14, turn AIG, randomaction: nnnu
2018-02-12 01:37:50,437 [DEBUG] __main__: Iter 15, turn UNI, randomaction: ppdn
2018-02-12 01:37:50,437 [DEBUG] __main__: Iter 15, turn AIG, randomaction: nnnd
2018-02-12 01:37:50,438 [DEBUG] __main__: Iter 16, turn UNI, randomaction: pdun
2018-02-12 01:37:50,438 [DEBUG] __main__: Iter 16, turn AIG, randomaction: nnnl
2018-02-12 01:37:50,438 [DEBUG] __main__: Iter 17, turn UNI, randomaction: rdln
2018-02-12 01:37:50,438 [DEBUG] __main__: Iter 17, turn AIG, randomaction: nnnd
2018-02-12 01:37:50,439 [DEBUG] __main__: Iter 18, turn UNI, randomaction: rpun
2018-02-12 01:37:50,439 [DEBUG] __main__: Iter 18, turn AIG, randomaction: nnnu
2018-02-12 01:37:50,439 [DEBUG] __main__: Iter 19, turn UNI, randomaction: rprn
2018-02-12 01:37:50,439 [DEBUG] __main__: Iter 19, turn AIG, randomaction: nnnd
2018-02-12 01:37:50,440 [DEBUG] __main__: Iter 20, turn UNI, randomaction: pldn
2018-02-12 01:37:50,440 [DEBUG] __main__: Iter 20, turn AIG, randomaction: nnnd
2018-02-12 01:37:50,440 [DEBUG] __main__: Iter 21, turn UNI, randomaction: pdln
2018-02-12 01:37:50,440 [DEBUG] __main__: Iter 21, turn AIG, randomaction: nnnp
2018-02-12 01:37:50,441 [DEBUG] __main__: Iter 22, turn UNI, randomaction: rlpn
2018-02-12 01:37:50,441 [DEBUG] __main__: Iter 22, turn AIG, randomaction: nnnu
2018-02-12 01:37:50,441 [DEBUG] __main__: Iter 23, turn UNI, randomaction: rpun
2018-02-12 01:37:50,441 [DEBUG] __main__: Iter 23, turn AIG, randomaction: nnnr
2018-02-12 01:37:50,442 [DEBUG] __main__: Iter 24, turn UNI, randomaction: rpln
2018-02-12 01:37:50,442 [DEBUG] __main__: Iter 24, turn AIG, randomaction: nnnu
2018-02-12 01:37:50,442 [DEBUG] __main__: Iter 25, turn UNI, randomaction: pdrn
2018-02-12 01:37:50,442 [DEBUG] __main__: Iter 25, turn AIG, randomaction: nnnd
2018-02-12 01:37:50,443 [DEBUG] __main__: Iter 26, turn UNI, randomaction: rprn
2018-02-12 01:37:50,443 [DEBUG] __main__: Iter 26, turn AIG, randomaction: nnnu
2018-02-12 01:37:50,443 [DEBUG] __main__: Iter 27, turn UNI, randomaction: ppln
2018-02-12 01:37:50,443 [DEBUG] __main__: Iter 27, turn AIG, randomaction: nnnr
2018-02-12 01:37:50,444 [DEBUG] __main__: Iter 28, turn UNI, randomaction: pddn
2018-02-12 01:37:50,444 [DEBUG] __main__: Iter 28, turn AIG, randomaction: nnnd
2018-02-12 01:37:50,444 [DEBUG] __main__: Iter 29, turn UNI, randomaction: rlln
2018-02-12 01:37:50,445 [DEBUG] __main__: Iter 29, turn AIG, randomaction: nnnp
2018-02-12 01:37:50,445 [DEBUG] __main__: Iter 30, turn UNI, randomaction: rdun
2018-02-12 01:37:50,445 [DEBUG] __main__: Iter 30, turn AIG, randomaction: nnnu
2018-02-12 01:37:50,445 [DEBUG] __main__: Iter 31, turn UNI, randomaction: plrn
2018-02-12 01:37:50,446 [DEBUG] __main__: Iter 31, turn AIG, randomaction: nnnd
2018-02-12 01:37:50,446 [DEBUG] __main__: Iter 32, turn UNI, randomaction: rdpn
2018-02-12 01:37:50,446 [DEBUG] __main__: Iter 32, turn AIG, randomaction: nnnr
2018-02-12 01:37:50,446 [DEBUG] __main__: Iter 33, turn UNI, randomaction: pldn
2018-02-12 01:37:50,446 [DEBUG] __main__: Iter 33, turn AIG, randomaction: nnnl
2018-02-12 01:37:50,447 [DEBUG] __main__: Iter 34, turn UNI, randomaction: rlun
2018-02-12 01:37:50,447 [DEBUG] __main__: Iter 34, turn AIG, randomaction: nnnu
2018-02-12 01:37:50,447 [DEBUG] __main__: Iter 35, turn UNI, randomaction: rlrn
2018-02-12 01:37:50,447 [DEBUG] __main__: Iter 35, turn AIG, randomaction: nnnp
2018-02-12 01:37:50,448 [DEBUG] __main__: Iter 36, turn UNI, randomaction: plpn
2018-02-12 01:37:50,448 [DEBUG] __main__: Iter 36, turn AIG, randomaction: nnnr
2018-02-12 01:37:50,448 [DEBUG] __main__: Iter 37, turn UNI, randomaction: ppun
2018-02-12 01:37:50,448 [DEBUG] __main__: Iter 37, turn AIG, randomaction: nnnd
2018-02-12 01:37:50,449 [DEBUG] __main__: Iter 38, turn UNI, randomaction: rdun
