2018-02-12 01:49:04,248 [DEBUG] src.generate_init: creating agent with capacity 0.266033856344 vradius 0.330971388363 vangle 0.544507549391 type 1 loc [2 7]
2018-02-12 01:49:04,249 [INFO] src.agent_originaltypes: Created an agent with location [2 7], type 1, capacity 0.266033856344, view_radius 0.330971388363, view_angle 0.544507549391 in standard ranges
2018-02-12 01:49:04,249 [DEBUG] src.generate_init: creating agent with capacity 0.230107422505 vradius 0.632717379971 vangle 0.540262885639 type 1 loc [9 2]
2018-02-12 01:49:04,249 [INFO] src.agent_originaltypes: Created an agent with location [9 2], type 1, capacity 0.230107422505, view_radius 0.632717379971, view_angle 0.540262885639 in standard ranges
2018-02-12 01:49:04,250 [DEBUG] src.generate_init: creating agent with capacity 0.136122217478 vradius 0.151694686863 vangle 0.627485606705 type 1 loc [1 6]
2018-02-12 01:49:04,250 [INFO] src.agent_originaltypes: Created an agent with location [1 6], type 1, capacity 0.136122217478, view_radius 0.151694686863, view_angle 0.627485606705 in standard ranges
2018-02-12 01:49:04,250 [DEBUG] src.generate_init: creating agent with capacity 0.329432735501 vradius 0.692829548187 vangle 0.545002568527 type 1 loc [3 5]
2018-02-12 01:49:04,250 [INFO] src.agent_originaltypes: Created an agent with location [3 5], type 1, capacity 0.329432735501, view_radius 0.692829548187, view_angle 0.545002568527 in standard ranges
2018-02-12 01:49:04,251 [DEBUG] __main__: The generated random actions for UNI look like this 
 ['duun', 'durn', 'dupn', 'dlun', 'dlrn', 'dlpn', 'drun', 'drrn', 'drpn', 'dpun', 'dprn', 'dppn', 'luun', 'lurn', 'lupn', 'llun', 'llrn', 'llpn', 'lrun', 'lrrn', 'lrpn', 'lpun', 'lprn', 'lppn', 'puun', 'purn', 'pupn', 'plun', 'plrn', 'plpn', 'prun', 'prrn', 'prpn', 'ppun', 'pprn', 'pppn']
2018-02-12 01:49:04,252 [DEBUG] __main__: PASS: Test 1 passed. The number of legal actions function works
2018-02-12 01:49:04,253 [DEBUG] __main__: Iter 0, turn UNI, randomaction: luun
2018-02-12 01:49:04,253 [DEBUG] __main__: Iter 0, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,254 [DEBUG] __main__: Iter 1, turn UNI, randomaction: prun
2018-02-12 01:49:04,254 [DEBUG] __main__: Iter 1, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,255 [DEBUG] __main__: Iter 2, turn UNI, randomaction: dlrn
2018-02-12 01:49:04,256 [DEBUG] __main__: Iter 2, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,257 [DEBUG] __main__: Iter 3, turn UNI, randomaction: lrun
2018-02-12 01:49:04,257 [DEBUG] __main__: Iter 3, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,258 [DEBUG] __main__: Iter 4, turn UNI, randomaction: llun
2018-02-12 01:49:04,258 [DEBUG] __main__: Iter 4, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,259 [DEBUG] __main__: Iter 5, turn UNI, randomaction: lrun
2018-02-12 01:49:04,259 [DEBUG] __main__: Iter 5, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,260 [DEBUG] __main__: Iter 6, turn UNI, randomaction: plun
2018-02-12 01:49:04,260 [DEBUG] __main__: Iter 6, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,261 [DEBUG] __main__: Iter 7, turn UNI, randomaction: drun
2018-02-12 01:49:04,261 [DEBUG] __main__: Iter 7, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,262 [DEBUG] __main__: Iter 8, turn UNI, randomaction: lppn
2018-02-12 01:49:04,262 [DEBUG] __main__: Iter 8, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,263 [DEBUG] __main__: Iter 9, turn UNI, randomaction: lrun
2018-02-12 01:49:04,263 [DEBUG] __main__: Iter 9, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,263 [DEBUG] __main__: Iter 10, turn UNI, randomaction: lurn
2018-02-12 01:49:04,264 [DEBUG] __main__: Iter 10, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,264 [DEBUG] __main__: Iter 11, turn UNI, randomaction: lpun
2018-02-12 01:49:04,264 [DEBUG] __main__: Iter 11, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,264 [DEBUG] __main__: Iter 12, turn UNI, randomaction: dlun
2018-02-12 01:49:04,265 [DEBUG] __main__: Iter 12, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,265 [DEBUG] __main__: Iter 13, turn UNI, randomaction: dupn
2018-02-12 01:49:04,265 [DEBUG] __main__: Iter 13, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,265 [DEBUG] __main__: Iter 14, turn UNI, randomaction: durn
2018-02-12 01:49:04,266 [DEBUG] __main__: Iter 14, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,266 [DEBUG] __main__: Iter 15, turn UNI, randomaction: dlrn
2018-02-12 01:49:04,266 [DEBUG] __main__: Iter 15, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,266 [DEBUG] __main__: Iter 16, turn UNI, randomaction: lpun
2018-02-12 01:49:04,267 [DEBUG] __main__: Iter 16, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,267 [DEBUG] __main__: Iter 17, turn UNI, randomaction: llun
2018-02-12 01:49:04,267 [DEBUG] __main__: Iter 17, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,267 [DEBUG] __main__: Iter 18, turn UNI, randomaction: drrn
2018-02-12 01:49:04,267 [DEBUG] __main__: Iter 18, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,268 [DEBUG] __main__: Iter 19, turn UNI, randomaction: plpn
2018-02-12 01:49:04,268 [DEBUG] __main__: Iter 19, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,268 [DEBUG] __main__: Iter 20, turn UNI, randomaction: drrn
2018-02-12 01:49:04,268 [DEBUG] __main__: Iter 20, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,269 [DEBUG] __main__: Iter 21, turn UNI, randomaction: ppun
2018-02-12 01:49:04,269 [DEBUG] __main__: Iter 21, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,269 [DEBUG] __main__: Iter 22, turn UNI, randomaction: lprn
2018-02-12 01:49:04,269 [DEBUG] __main__: Iter 22, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,270 [DEBUG] __main__: Iter 23, turn UNI, randomaction: lrun
2018-02-12 01:49:04,270 [DEBUG] __main__: Iter 23, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,270 [DEBUG] __main__: Iter 24, turn UNI, randomaction: dlun
2018-02-12 01:49:04,270 [DEBUG] __main__: Iter 24, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,271 [DEBUG] __main__: Iter 25, turn UNI, randomaction: lrrn
2018-02-12 01:49:04,271 [DEBUG] __main__: Iter 25, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,271 [DEBUG] __main__: Iter 26, turn UNI, randomaction: ppun
2018-02-12 01:49:04,271 [DEBUG] __main__: Iter 26, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,272 [DEBUG] __main__: Iter 27, turn UNI, randomaction: llun
2018-02-12 01:49:04,272 [DEBUG] __main__: Iter 27, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,272 [DEBUG] __main__: Iter 28, turn UNI, randomaction: pprn
2018-02-12 01:49:04,272 [DEBUG] __main__: Iter 28, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,273 [DEBUG] __main__: Iter 29, turn UNI, randomaction: dprn
2018-02-12 01:49:04,273 [DEBUG] __main__: Iter 29, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,273 [DEBUG] __main__: Iter 30, turn UNI, randomaction: dlrn
2018-02-12 01:49:04,273 [DEBUG] __main__: Iter 30, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,273 [DEBUG] __main__: Iter 31, turn UNI, randomaction: lpun
2018-02-12 01:49:04,274 [DEBUG] __main__: Iter 31, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,274 [DEBUG] __main__: Iter 32, turn UNI, randomaction: ppun
2018-02-12 01:49:04,274 [DEBUG] __main__: Iter 32, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,274 [DEBUG] __main__: Iter 33, turn UNI, randomaction: dppn
2018-02-12 01:49:04,275 [DEBUG] __main__: Iter 33, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,275 [DEBUG] __main__: Iter 34, turn UNI, randomaction: duun
2018-02-12 01:49:04,275 [DEBUG] __main__: Iter 34, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,275 [DEBUG] __main__: Iter 35, turn UNI, randomaction: pppn
2018-02-12 01:49:04,276 [DEBUG] __main__: Iter 35, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,276 [DEBUG] __main__: Iter 36, turn UNI, randomaction: pppn
2018-02-12 01:49:04,276 [DEBUG] __main__: Iter 36, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,276 [DEBUG] __main__: Iter 37, turn UNI, randomaction: plrn
2018-02-12 01:49:04,276 [DEBUG] __main__: Iter 37, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,277 [DEBUG] __main__: Iter 38, turn UNI, randomaction: drpn
2018-02-12 01:49:04,277 [DEBUG] __main__: Iter 38, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,277 [DEBUG] __main__: Iter 39, turn UNI, randomaction: dpun
