2018-01-29 13:44:29,291 [INFO] __main__: Logging configuration of the file
2018-01-29 13:44:29,292 [INFO] __main__: LOGGING_CONFIG
2018-01-29 13:44:29,294 [INFO] generate_init: Initializing new configuration
2018-01-29 13:44:29,296 [INFO] src.agent_originaltypes: Created an agent with location [7 5], type 0, capacity 0.37794484788, view_radius 0.538572544412, view_angle 0.269532768667 in standard ranges
2018-01-29 13:44:29,297 [INFO] src.agent_originaltypes: Created an agent with location [6 3], type 2, capacity 0.385608090406, view_radius 0.208235541808, view_angle 0.653663874427 in standard ranges
2018-01-29 13:44:29,297 [INFO] src.agent_originaltypes: Created an agent with location [0 8], type 0, capacity 0.262203953205, view_radius 0.282298138364, view_angle 0.243175958458 in standard ranges
2018-01-29 13:44:29,392 [INFO] generate_init: Finished creating arena and agents. One item consumed due to overlap. Current item count is 20
2018-01-29 13:44:29,392 [INFO] src.ABU_estimator_noapproximation: Calling parent ABU via inheritance. This is ABU_noapproximation
2018-01-29 13:44:29,393 [INFO] src.agent_originaltypes: Created an agent with location [7 5], type 0, capacity 0.37794484788, view_radius 0.1, view_angle 0.269532768667 in standard ranges
2018-01-29 13:44:29,393 [INFO] src.agent_originaltypes: Created an agent with location [7 5], type 0, capacity 0.37794484788, view_radius 0.103010033445, view_angle 0.269532768667 in standard ranges
2018-01-29 13:44:29,393 [INFO] src.agent_originaltypes: Created an agent with location [7 5], type 0, capacity 0.37794484788, view_radius 0.10602006689, view_angle 0.269532768667 in standard ranges
2018-01-29 13:44:29,394 [INFO] src.agent_originaltypes: Created an agent with location [7 5], type 0, capacity 0.37794484788, view_radius 0.109030100334, view_angle 0.269532768667 in standard ranges
2018-01-29 13:44:29,394 [INFO] src.agent_originaltypes: Created an agent with location [7 5], type 0, capacity 0.37794484788, view_radius 0.112040133779, view_angle 0.269532768667 in standard ranges
2018-01-29 13:44:29,394 [INFO] src.agent_originaltypes: Created an agent with location [7 5], type 0, capacity 0.37794484788, view_radius 0.115050167224, view_angle 0.269532768667 in standard ranges
2018-01-29 13:44:29,394 [INFO] src.agent_originaltypes: Created an agent with location [7 5], type 0, capacity 0.37794484788, view_radius 0.118060200669, view_angle 0.269532768667 in standard ranges
2018-01-29 13:44:29,394 [INFO] src.agent_originaltypes: Created an agent with location [7 5], type 0, capacity 0.37794484788, view_radius 0.121070234114, view_angle 0.269532768667 in standard ranges
2018-01-29 13:44:29,395 [INFO] src.agent_originaltypes: Created an agent with location [7 5], type 0, capacity 0.37794484788, view_radius 0.124080267559, view_angle 0.269532768667 in standard ranges
2018-01-29 13:44:29,395 [INFO] src.agent_originaltypes: Created an agent with location [7 5], type 0, capacity 0.37794484788, view_radius 0.127090301003, view_angle 0.269532768667 in standard ranges
2018-01-29 13:44:29,395 [INFO] src.agent_originaltypes: Created an agent with location [7 5], type 0, capacity 0.37794484788, view_radius 0.130100334448, view_angle 0.269532768667 in standard ranges
2018-01-29 13:44:29,395 [INFO] src.agent_originaltypes: Created an agent with location [7 5], type 0, capacity 0.37794484788, view_radius 0.133110367893, view_angle 0.269532768667 in standard ranges
2018-01-29 13:44:29,395 [INFO] src.agent_originaltypes: Created an agent with location [7 5], type 0, capacity 0.37794484788, view_radius 0.136120401338, view_angle 0.269532768667 in standard ranges
