2018-01-29 19:02:28,059 [INFO] __main__: Logging configuration of the file
2018-01-29 19:02:28,061 [INFO] __main__: LOGGING_CONFIG
2018-01-29 19:02:28,063 [INFO] generate_init: Initializing new configuration
2018-01-29 19:02:28,064 [INFO] src.agent_originaltypes: Created an agent with location [4 7], type 2, capacity 0.267199311424, view_radius 0.397060005103, view_angle 0.373903711559 in standard ranges
2018-01-29 19:02:28,065 [INFO] src.agent_originaltypes: Created an agent with location [2 6], type 0, capacity 0.170799969907, view_radius 0.305046867282, view_angle 0.35143507166 in standard ranges
2018-01-29 19:02:28,065 [INFO] src.agent_originaltypes: Created an agent with location [3 5], type 1, capacity 0.355864064004, view_radius 0.182628960429, view_angle 0.338933402747 in standard ranges
2018-01-29 19:02:28,178 [INFO] generate_init: Finished creating arena and agents. One item consumed due to overlap. Current item count is 20
2018-01-29 19:02:28,178 [INFO] src.ABU_estimator_noapproximation: Calling parent ABU via inheritance. This is ABU_noapproximation
2018-01-29 19:02:28,179 [INFO] src.agent_originaltypes: Created an agent with location [4 7], type 0, capacity 0.267199311424, view_radius 0.1, view_angle 0.373903711559 in standard ranges
2018-01-29 19:02:28,179 [INFO] src.agent_originaltypes: Created an agent with location [4 7], type 0, capacity 0.267199311424, view_radius 0.131034482759, view_angle 0.373903711559 in standard ranges
2018-01-29 19:02:28,180 [INFO] src.agent_originaltypes: Created an agent with location [4 7], type 0, capacity 0.267199311424, view_radius 0.162068965517, view_angle 0.373903711559 in standard ranges
2018-01-29 19:02:28,180 [INFO] src.agent_originaltypes: Created an agent with location [4 7], type 0, capacity 0.267199311424, view_radius 0.193103448276, view_angle 0.373903711559 in standard ranges
2018-01-29 19:02:28,180 [INFO] src.agent_originaltypes: Created an agent with location [4 7], type 0, capacity 0.267199311424, view_radius 0.224137931034, view_angle 0.373903711559 in standard ranges
2018-01-29 19:02:28,180 [INFO] src.agent_originaltypes: Created an agent with location [4 7], type 0, capacity 0.267199311424, view_radius 0.255172413793, view_angle 0.373903711559 in standard ranges
