2018-01-28 14:58:14,864 [INFO] generate_init: Initializing new configuration
2018-01-28 14:58:14,865 [INFO] src.agent_originaltypes: Created an agent with location [6 6], type 2, capacity 0.434368557133, view_radius 0.279584956823, view_angle 0.521418084956 in standard ranges
2018-01-28 14:58:14,865 [INFO] src.agent_originaltypes: Created an agent with location [1 6], type 0, capacity 0.430634878017, view_radius 0.701924467859, view_angle 0.884365751968 in standard ranges
2018-01-28 14:58:14,866 [INFO] src.agent_originaltypes: Created an agent with location [1 3], type 1, capacity 0.180917328182, view_radius 0.450622492855, view_angle 0.864691212094 in standard ranges
2018-01-28 14:58:14,961 [INFO] generate_init: Finished creating arena and agents. One item consumed due to overlap. Current item count is 18
2018-01-28 14:58:14,962 [INFO] src.agent_originaltypes: Created an agent with location [6 6], type 0, capacity 0.434368557133, view_radius 0.1, view_angle 0.521418084956 in standard ranges
2018-01-28 14:58:14,962 [INFO] src.agent_originaltypes: Created an agent with location [6 6], type 0, capacity 0.434368557133, view_radius 0.101803607214, view_angle 0.521418084956 in standard ranges
2018-01-28 14:58:14,962 [INFO] src.agent_originaltypes: Created an agent with location [6 6], type 0, capacity 0.434368557133, view_radius 0.103607214429, view_angle 0.521418084956 in standard ranges
2018-01-28 14:58:14,963 [INFO] src.agent_originaltypes: Created an agent with location [6 6], type 0, capacity 0.434368557133, view_radius 0.105410821643, view_angle 0.521418084956 in standard ranges
2018-01-28 14:58:14,963 [INFO] src.agent_originaltypes: Created an agent with location [6 6], type 0, capacity 0.434368557133, view_radius 0.107214428858, view_angle 0.521418084956 in standard ranges
2018-01-28 14:58:14,963 [INFO] src.agent_originaltypes: Created an agent with location [6 6], type 0, capacity 0.434368557133, view_radius 0.109018036072, view_angle 0.521418084956 in standard ranges
2018-01-28 14:58:14,963 [INFO] src.agent_originaltypes: Created an agent with location [6 6], type 0, capacity 0.434368557133, view_radius 0.110821643287, view_angle 0.521418084956 in standard ranges
2018-01-28 14:58:14,964 [INFO] src.agent_originaltypes: Created an agent with location [6 6], type 0, capacity 0.434368557133, view_radius 0.112625250501, view_angle 0.521418084956 in standard ranges
2018-01-28 14:58:14,964 [INFO] src.agent_originaltypes: Created an agent with location [6 6], type 0, capacity 0.434368557133, view_radius 0.114428857715, view_angle 0.521418084956 in standard ranges
2018-01-28 14:58:14,964 [INFO] src.agent_originaltypes: Created an agent with location [6 6], type 0, capacity 0.434368557133, view_radius 0.11623246493, view_angle 0.521418084956 in standard ranges
2018-01-28 14:58:14,964 [INFO] src.agent_originaltypes: Created an agent with location [6 6], type 0, capacity 0.434368557133, view_radius 0.118036072144, view_angle 0.521418084956 in standard ranges
2018-01-28 14:58:14,964 [INFO] src.agent_originaltypes: Created an agent with location [6 6], type 0, capacity 0.434368557133, view_radius 0.119839679359, view_angle 0.521418084956 in standard ranges
2018-01-28 14:58:14,965 [INFO] src.agent_originaltypes: Created an agent with location [6 6], type 0, capacity 0.434368557133, view_radius 0.121643286573, view_angle 0.521418084956 in standard ranges
2018-01-28 14:58:14,965 [INFO] src.agent_originaltypes: Created an agent with location [6 6], type 0, capacity 0.434368557133, view_radius 0.123446893788, view_angle 0.521418084956 in standard ranges
2018-01-28 14:58:14,965 [INFO] src.agent_originaltypes: Created an agent with location [6 6], type 0, capacity 0.434368557133, view_radius 0.125250501002, view_angle 0.521418084956 in standard ranges
2018-01-28 14:58:14,965 [INFO] src.agent_originaltypes: Created an agent with location [6 6], type 0, capacity 0.434368557133, view_radius 0.127054108216, view_angle 0.521418084956 in standard ranges
