2018-01-28 15:03:26,678 [INFO] generate_init: Initializing new configuration
2018-01-28 15:03:26,682 [INFO] src.agent_originaltypes: Created an agent with location [2 9], type 0, capacity 0.349058146837, view_radius 0.74102566466, view_angle 0.57231597985 in standard ranges
2018-01-28 15:03:26,682 [INFO] src.agent_originaltypes: Created an agent with location [7 8], type 2, capacity 0.253727886057, view_radius 0.364556050452, view_angle 0.845979283763 in standard ranges
2018-01-28 15:03:26,683 [INFO] src.agent_originaltypes: Created an agent with location [1 0], type 1, capacity 0.271636784213, view_radius 0.547531479326, view_angle 0.383687206812 in standard ranges
2018-01-28 15:03:26,790 [INFO] generate_init: Finished creating arena and agents. One item consumed due to overlap. Current item count is 20
2018-01-28 15:03:26,791 [INFO] src.agent_originaltypes: Created an agent with location [2 9], type 0, capacity 0.349058146837, view_radius 0.1, view_angle 0.57231597985 in standard ranges
2018-01-28 15:03:26,791 [INFO] src.agent_originaltypes: Created an agent with location [2 9], type 0, capacity 0.349058146837, view_radius 0.101803607214, view_angle 0.57231597985 in standard ranges
2018-01-28 15:03:26,792 [INFO] src.agent_originaltypes: Created an agent with location [2 9], type 0, capacity 0.349058146837, view_radius 0.103607214429, view_angle 0.57231597985 in standard ranges
2018-01-28 15:03:26,792 [INFO] src.agent_originaltypes: Created an agent with location [2 9], type 0, capacity 0.349058146837, view_radius 0.105410821643, view_angle 0.57231597985 in standard ranges
2018-01-28 15:03:26,792 [INFO] src.agent_originaltypes: Created an agent with location [2 9], type 0, capacity 0.349058146837, view_radius 0.107214428858, view_angle 0.57231597985 in standard ranges
2018-01-28 15:03:26,793 [INFO] src.agent_originaltypes: Created an agent with location [2 9], type 0, capacity 0.349058146837, view_radius 0.109018036072, view_angle 0.57231597985 in standard ranges
2018-01-28 15:03:26,793 [INFO] src.agent_originaltypes: Created an agent with location [2 9], type 0, capacity 0.349058146837, view_radius 0.110821643287, view_angle 0.57231597985 in standard ranges
2018-01-28 15:03:26,794 [INFO] src.agent_originaltypes: Created an agent with location [2 9], type 0, capacity 0.349058146837, view_radius 0.112625250501, view_angle 0.57231597985 in standard ranges
2018-01-28 15:03:26,794 [INFO] src.agent_originaltypes: Created an agent with location [2 9], type 0, capacity 0.349058146837, view_radius 0.114428857715, view_angle 0.57231597985 in standard ranges
2018-01-28 15:03:26,795 [INFO] src.agent_originaltypes: Created an agent with location [2 9], type 0, capacity 0.349058146837, view_radius 0.11623246493, view_angle 0.57231597985 in standard ranges
2018-01-28 15:03:26,795 [INFO] src.agent_originaltypes: Created an agent with location [2 9], type 0, capacity 0.349058146837, view_radius 0.118036072144, view_angle 0.57231597985 in standard ranges
2018-01-28 15:03:26,796 [INFO] src.agent_originaltypes: Created an agent with location [2 9], type 0, capacity 0.349058146837, view_radius 0.119839679359, view_angle 0.57231597985 in standard ranges
2018-01-28 15:03:26,796 [INFO] src.agent_originaltypes: Created an agent with location [2 9], type 0, capacity 0.349058146837, view_radius 0.121643286573, view_angle 0.57231597985 in standard ranges
2018-01-28 15:03:26,797 [INFO] src.agent_originaltypes: Created an agent with location [2 9], type 0, capacity 0.349058146837, view_radius 0.123446893788, view_angle 0.57231597985 in standard ranges
2018-01-28 15:03:26,797 [INFO] src.agent_originaltypes: Created an agent with location [2 9], type 0, capacity 0.349058146837, view_radius 0.125250501002, view_angle 0.57231597985 in standard ranges
2018-01-28 15:03:26,798 [INFO] src.agent_originaltypes: Created an agent with location [2 9], type 0, capacity 0.349058146837, view_radius 0.127054108216, view_angle 0.57231597985 in standard ranges
2018-01-28 15:03:26,798 [INFO] src.agent_originaltypes: Created an agent with location [2 9], type 0, capacity 0.349058146837, view_radius 0.128857715431, view_angle 0.57231597985 in standard ranges
2018-01-28 15:03:26,799 [INFO] src.agent_originaltypes: Created an agent with location [2 9], type 0, capacity 0.349058146837, view_radius 0.130661322645, view_angle 0.57231597985 in standard ranges
2018-01-28 15:03:26,799 [INFO] src.agent_originaltypes: Created an agent with location [2 9], type 0, capacity 0.349058146837, view_radius 0.13246492986, view_angle 0.57231597985 in standard ranges
2018-01-28 15:03:26,800 [INFO] src.agent_originaltypes: Created an agent with location [2 9], type 0, capacity 0.349058146837, view_radius 0.134268537074, view_angle 0.57231597985 in standard ranges
2018-01-28 15:03:26,800 [INFO] src.agent_originaltypes: Created an agent with location [2 9], type 0, capacity 0.349058146837, view_radius 0.136072144289, view_angle 0.57231597985 in standard ranges
