2018-01-28 16:10:38,380 [INFO] generate_init: Initializing new configuration
2018-01-28 16:10:38,381 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 2, capacity 0.192303447825, view_radius 0.582412585913, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,382 [INFO] src.agent_expressive1: Created an agent with location [6 3], type 1, capacity 0.245880392819, view_radius 0.368387890853, view_angle 0.798266016833 in standard ranges
2018-01-28 16:10:38,382 [INFO] src.agent_expressive1: Created an agent with location [0 8], type 1, capacity 0.141265507295, view_radius 0.570101454832, view_angle 0.815237427685 in standard ranges
2018-01-28 16:10:38,472 [INFO] generate_init: Finished creating arena and agents. One item consumed due to overlap. Current item count is 19
2018-01-28 16:10:38,472 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 0, capacity 0.192303447825, view_radius 0.1, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,473 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 0, capacity 0.192303447825, view_radius 0.2, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,473 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 0, capacity 0.192303447825, view_radius 0.3, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,473 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 0, capacity 0.192303447825, view_radius 0.4, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,473 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 0, capacity 0.192303447825, view_radius 0.5, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,474 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 0, capacity 0.192303447825, view_radius 0.6, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,474 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 0, capacity 0.192303447825, view_radius 0.7, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,474 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 0, capacity 0.192303447825, view_radius 0.8, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,475 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 0, capacity 0.192303447825, view_radius 0.9, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,475 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 0, capacity 0.192303447825, view_radius 1.0, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,475 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 1, capacity 0.192303447825, view_radius 0.1, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,475 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 1, capacity 0.192303447825, view_radius 0.2, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,476 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 1, capacity 0.192303447825, view_radius 0.3, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,476 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 1, capacity 0.192303447825, view_radius 0.4, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,476 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 1, capacity 0.192303447825, view_radius 0.5, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,476 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 1, capacity 0.192303447825, view_radius 0.6, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,477 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 1, capacity 0.192303447825, view_radius 0.7, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,477 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 1, capacity 0.192303447825, view_radius 0.8, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,477 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 1, capacity 0.192303447825, view_radius 0.9, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,477 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 1, capacity 0.192303447825, view_radius 1.0, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,478 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 2, capacity 0.192303447825, view_radius 0.1, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,478 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 2, capacity 0.192303447825, view_radius 0.2, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,478 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 2, capacity 0.192303447825, view_radius 0.3, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,479 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 2, capacity 0.192303447825, view_radius 0.4, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,479 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 2, capacity 0.192303447825, view_radius 0.5, view_angle 0.434606441936 in standard ranges
