2018-02-07 15:58:10,294 [INFO] __main__: Logging configuration of the file
2018-02-07 15:58:10,296 [INFO] __main__: LOGGING_CONFIG
2018-02-07 15:58:10,298 [INFO] generate_init: Initializing new configuration
2018-02-07 15:58:10,300 [INFO] src.agent_originaltypes: Created an agent with location [4 6], type 2, capacity 0.329708486159, view_radius 0.323042822009, view_angle 0.281673413104 in standard ranges
2018-02-07 15:58:10,300 [INFO] src.agent_originaltypes: Created an agent with location [9 5], type 1, capacity 0.455680364566, view_radius 0.233293119518, view_angle 0.851555498834 in standard ranges
2018-02-07 15:58:10,301 [INFO] src.agent_originaltypes: Created an agent with location [5 8], type 2, capacity 0.438971091349, view_radius 0.812477508968, view_angle 0.80777853001 in standard ranges
2018-02-07 15:58:10,405 [INFO] generate_init: Finished creating arena and agents. One item consumed due to overlap. Current item count is 20
2018-02-07 15:58:10,405 [INFO] src.ABU_estimator_noapproximation: Calling parent ABU via inheritance. This is ABU_noapproximation
2018-02-07 15:58:10,406 [INFO] src.agent_originaltypes: Created an agent with location [4 6], type 0, capacity 0.329708486159, view_radius 0.1, view_angle 0.281673413104 in standard ranges
2018-02-07 15:58:10,406 [INFO] src.agent_originaltypes: Created an agent with location [4 6], type 0, capacity 0.329708486159, view_radius 0.103010033445, view_angle 0.281673413104 in standard ranges
2018-02-07 15:58:10,406 [INFO] src.agent_originaltypes: Created an agent with location [4 6], type 0, capacity 0.329708486159, view_radius 0.10602006689, view_angle 0.281673413104 in standard ranges
2018-02-07 15:58:10,407 [INFO] src.agent_originaltypes: Created an agent with location [4 6], type 0, capacity 0.329708486159, view_radius 0.109030100334, view_angle 0.281673413104 in standard ranges
2018-02-07 15:58:10,407 [INFO] src.agent_originaltypes: Created an agent with location [4 6], type 0, capacity 0.329708486159, view_radius 0.112040133779, view_angle 0.281673413104 in standard ranges
2018-02-07 15:58:10,407 [INFO] src.agent_originaltypes: Created an agent with location [4 6], type 0, capacity 0.329708486159, view_radius 0.115050167224, view_angle 0.281673413104 in standard ranges
2018-02-07 15:58:10,408 [INFO] src.agent_originaltypes: Created an agent with location [4 6], type 0, capacity 0.329708486159, view_radius 0.118060200669, view_angle 0.281673413104 in standard ranges
2018-02-07 15:58:10,408 [INFO] src.agent_originaltypes: Created an agent with location [4 6], type 0, capacity 0.329708486159, view_radius 0.121070234114, view_angle 0.281673413104 in standard ranges
2018-02-07 15:58:10,408 [INFO] src.agent_originaltypes: Created an agent with location [4 6], type 0, capacity 0.329708486159, view_radius 0.124080267559, view_angle 0.281673413104 in standard ranges
2018-02-07 15:58:10,409 [INFO] src.agent_originaltypes: Created an agent with location [4 6], type 0, capacity 0.329708486159, view_radius 0.127090301003, view_angle 0.281673413104 in standard ranges
2018-02-07 15:58:10,409 [INFO] src.agent_originaltypes: Created an agent with location [4 6], type 0, capacity 0.329708486159, view_radius 0.130100334448, view_angle 0.281673413104 in standard ranges
2018-02-07 15:58:10,409 [INFO] src.agent_originaltypes: Created an agent with location [4 6], type 0, capacity 0.329708486159, view_radius 0.133110367893, view_angle 0.281673413104 in standard ranges
2018-02-07 15:58:10,409 [INFO] src.agent_originaltypes: Created an agent with location [4 6], type 0, capacity 0.329708486159, view_radius 0.136120401338, view_angle 0.281673413104 in standard ranges
2018-02-07 15:58:10,410 [INFO] src.agent_originaltypes: Created an agent with location [4 6], type 0, capacity 0.329708486159, view_radius 0.139130434783, view_angle 0.281673413104 in standard ranges
2018-02-07 15:58:10,410 [INFO] src.agent_originaltypes: Created an agent with location [4 6], type 0, capacity 0.329708486159, view_radius 0.142140468227, view_angle 0.281673413104 in standard ranges
2018-02-07 15:58:10,410 [INFO] src.agent_originaltypes: Created an agent with location [4 6], type 0, capacity 0.329708486159, view_radius 0.145150501672, view_angle 0.281673413104 in standard ranges
2018-02-07 15:58:10,410 [INFO] src.agent_originaltypes: Created an agent with location [4 6], type 0, capacity 0.329708486159, view_radius 0.148160535117, view_angle 0.281673413104 in standard ranges
2018-02-07 15:58:10,411 [INFO] src.agent_originaltypes: Created an agent with location [4 6], type 0, capacity 0.329708486159, view_radius 0.151170568562, view_angle 0.281673413104 in standard ranges
2018-02-07 15:58:10,411 [INFO] src.agent_originaltypes: Created an agent with location [4 6], type 0, capacity 0.329708486159, view_radius 0.154180602007, view_angle 0.281673413104 in standard ranges
2018-02-07 15:58:10,411 [INFO] src.agent_originaltypes: Created an agent with location [4 6], type 0, capacity 0.329708486159, view_radius 0.157190635452, view_angle 0.281673413104 in standard ranges
2018-02-07 15:58:10,411 [INFO] src.agent_originaltypes: Created an agent with location [4 6], type 0, capacity 0.329708486159, view_radius 0.160200668896, view_angle 0.281673413104 in standard ranges
2018-02-07 15:58:10,412 [INFO] src.agent_originaltypes: Created an agent with location [4 6], type 0, capacity 0.329708486159, view_radius 0.163210702341, view_angle 0.281673413104 in standard ranges
2018-02-07 15:58:10,412 [INFO] src.agent_originaltypes: Created an agent with location [4 6], type 0, capacity 0.329708486159, view_radius 0.166220735786, view_angle 0.281673413104 in standard ranges
2018-02-07 15:58:10,412 [INFO] src.agent_originaltypes: Created an agent with location [4 6], type 0, capacity 0.329708486159, view_radius 0.169230769231, view_angle 0.281673413104 in standard ranges
2018-02-07 15:58:10,412 [INFO] src.agent_originaltypes: Created an agent with location [4 6], type 0, capacity 0.329708486159, view_radius 0.172240802676, view_angle 0.281673413104 in standard ranges
2018-02-07 15:58:10,413 [INFO] src.agent_originaltypes: Created an agent with location [4 6], type 0, capacity 0.329708486159, view_radius 0.17525083612, view_angle 0.281673413104 in standard ranges
2018-02-07 15:58:10,413 [INFO] src.agent_originaltypes: Created an agent with location [4 6], type 0, capacity 0.329708486159, view_radius 0.178260869565, view_angle 0.281673413104 in standard ranges
2018-02-07 15:58:10,413 [INFO] src.agent_originaltypes: Created an agent with location [4 6], type 0, capacity 0.329708486159, view_radius 0.18127090301, view_angle 0.281673413104 in standard ranges
2018-02-07 15:58:10,414 [INFO] src.agent_originaltypes: Created an agent with location [4 6], type 0, capacity 0.329708486159, view_radius 0.184280936455, view_angle 0.281673413104 in standard ranges
2018-02-07 15:58:10,414 [INFO] src.agent_originaltypes: Created an agent with location [4 6], type 0, capacity 0.329708486159, view_radius 0.1872909699, view_angle 0.281673413104 in standard ranges
2018-02-07 15:58:10,414 [INFO] src.agent_originaltypes: Created an agent with location [4 6], type 0, capacity 0.329708486159, view_radius 0.190301003344, view_angle 0.281673413104 in standard ranges
2018-02-07 15:58:10,414 [INFO] src.agent_originaltypes: Created an agent with location [4 6], type 0, capacity 0.329708486159, view_radius 0.193311036789, view_angle 0.281673413104 in standard ranges
2018-02-07 15:58:10,415 [INFO] src.agent_originaltypes: Created an agent with location [4 6], type 0, capacity 0.329708486159, view_radius 0.196321070234, view_angle 0.281673413104 in standard ranges
