2018-02-07 20:14:33,560 [INFO] generate_init: Initializing new configuration
2018-02-07 20:14:33,565 [INFO] src.agent_originaltypes: Created an agent with location [0 5], type 1, capacity 0.207760528687, view_radius 0.516582692758, view_angle 0.755181535284 in standard ranges
2018-02-07 20:14:33,565 [INFO] src.agent_originaltypes: Created an agent with location [1 3], type 1, capacity 0.10328150976, view_radius 0.653269921779, view_angle 0.576978563398 in standard ranges
2018-02-07 20:14:33,566 [INFO] src.agent_originaltypes: Created an agent with location [8 7], type 2, capacity 0.194007015836, view_radius 0.56302414983, view_angle 0.191397787178 in standard ranges
2018-02-07 20:14:33,675 [INFO] generate_init: Finished creating arena and agents. One item consumed due to overlap. Current item count is 19
2018-02-07 20:14:33,676 [INFO] src.agent_originaltypes: Created an agent with location [0 5], type 0, capacity 0.207760528687, view_radius 0.1, view_angle 0.755181535284 in standard ranges
2018-02-07 20:14:33,676 [INFO] src.agent_originaltypes: Created an agent with location [0 5], type 0, capacity 0.207760528687, view_radius 0.2, view_angle 0.755181535284 in standard ranges
2018-02-07 20:14:33,677 [INFO] src.agent_originaltypes: Created an agent with location [0 5], type 0, capacity 0.207760528687, view_radius 0.3, view_angle 0.755181535284 in standard ranges
2018-02-07 20:14:33,677 [INFO] src.agent_originaltypes: Created an agent with location [0 5], type 0, capacity 0.207760528687, view_radius 0.4, view_angle 0.755181535284 in standard ranges
2018-02-07 20:14:33,677 [INFO] src.agent_originaltypes: Created an agent with location [0 5], type 0, capacity 0.207760528687, view_radius 0.5, view_angle 0.755181535284 in standard ranges
2018-02-07 20:14:33,678 [INFO] src.agent_originaltypes: Created an agent with location [0 5], type 0, capacity 0.207760528687, view_radius 0.6, view_angle 0.755181535284 in standard ranges
2018-02-07 20:14:33,678 [INFO] src.agent_originaltypes: Created an agent with location [0 5], type 0, capacity 0.207760528687, view_radius 0.7, view_angle 0.755181535284 in standard ranges
2018-02-07 20:14:33,678 [INFO] src.agent_originaltypes: Created an agent with location [0 5], type 0, capacity 0.207760528687, view_radius 0.8, view_angle 0.755181535284 in standard ranges
2018-02-07 20:14:33,679 [INFO] src.agent_originaltypes: Created an agent with location [0 5], type 0, capacity 0.207760528687, view_radius 0.9, view_angle 0.755181535284 in standard ranges
2018-02-07 20:14:33,679 [INFO] src.agent_originaltypes: Created an agent with location [0 5], type 0, capacity 0.207760528687, view_radius 1.0, view_angle 0.755181535284 in standard ranges
2018-02-07 20:14:33,680 [INFO] src.agent_originaltypes: Created an agent with location [0 5], type 1, capacity 0.207760528687, view_radius 0.1, view_angle 0.755181535284 in standard ranges
2018-02-07 20:14:33,680 [INFO] src.agent_originaltypes: Created an agent with location [0 5], type 1, capacity 0.207760528687, view_radius 0.2, view_angle 0.755181535284 in standard ranges
2018-02-07 20:14:33,680 [INFO] src.agent_originaltypes: Created an agent with location [0 5], type 1, capacity 0.207760528687, view_radius 0.3, view_angle 0.755181535284 in standard ranges
2018-02-07 20:14:33,681 [INFO] src.agent_originaltypes: Created an agent with location [0 5], type 1, capacity 0.207760528687, view_radius 0.4, view_angle 0.755181535284 in standard ranges
2018-02-07 20:14:33,681 [INFO] src.agent_originaltypes: Created an agent with location [0 5], type 1, capacity 0.207760528687, view_radius 0.5, view_angle 0.755181535284 in standard ranges
2018-02-07 20:14:33,681 [INFO] src.agent_originaltypes: Created an agent with location [0 5], type 1, capacity 0.207760528687, view_radius 0.6, view_angle 0.755181535284 in standard ranges
2018-02-07 20:14:33,682 [INFO] src.agent_originaltypes: Created an agent with location [0 5], type 1, capacity 0.207760528687, view_radius 0.7, view_angle 0.755181535284 in standard ranges
2018-02-07 20:14:33,682 [INFO] src.agent_originaltypes: Created an agent with location [0 5], type 1, capacity 0.207760528687, view_radius 0.8, view_angle 0.755181535284 in standard ranges
2018-02-07 20:14:33,682 [INFO] src.agent_originaltypes: Created an agent with location [0 5], type 1, capacity 0.207760528687, view_radius 0.9, view_angle 0.755181535284 in standard ranges
2018-02-07 20:14:33,683 [INFO] src.agent_originaltypes: Created an agent with location [0 5], type 1, capacity 0.207760528687, view_radius 1.0, view_angle 0.755181535284 in standard ranges
2018-02-07 20:14:33,683 [INFO] src.agent_originaltypes: Created an agent with location [0 5], type 2, capacity 0.207760528687, view_radius 0.1, view_angle 0.755181535284 in standard ranges
2018-02-07 20:14:33,683 [INFO] src.agent_originaltypes: Created an agent with location [0 5], type 2, capacity 0.207760528687, view_radius 0.2, view_angle 0.755181535284 in standard ranges
2018-02-07 20:14:33,684 [INFO] src.agent_originaltypes: Created an agent with location [0 5], type 2, capacity 0.207760528687, view_radius 0.3, view_angle 0.755181535284 in standard ranges
2018-02-07 20:14:33,684 [INFO] src.agent_originaltypes: Created an agent with location [0 5], type 2, capacity 0.207760528687, view_radius 0.4, view_angle 0.755181535284 in standard ranges
